Name,Type
Elon Musk - CEO of SpaceX, Tesla",real
Steve Jobs - Co-founder of Apple,real
Bill Gates - Co-founder of Microsoft,real
Socrates - Classical Greek philosopher,real
Albert Einstein - Theoretical physicist,real
"Nikola Tesla - Inventor, electrical engineer",real
"Leonardo da Vinci - Artist, inventor, polymath",real
"Charles Darwin - Naturalist, geologist, biologist",real
Mark Zuckerberg - Co-founder of Facebook,real
"Warren Buffett - Investor, business tycoon",real
Martin Luther King Jr. - Civil rights leader,real
Barack Obama - Former President of the United States,real
J.K. Rowling - Author,real
"William Shakespeare - Playwright, poet",real
Vincent van Gogh - Painter,real
Ludwig van Beethoven - Composer,real
"Michael Jackson - Singer, songwriter, dancer",real
Lionel Messi - Footballer,real
Michael Jordan - Former professional basketball player,real
Mike Tyson - Former professional boxer,real
"Arnold Schwarzenegger - Actor, politician",real
"Jackie Chan - Actor, martial artist",real
"Robert Downey Jr. - Actor, producer",real
"Neil Armstrong - Astronaut, first man on the moon",real
"Stephen Hawking - Theoretical physicist, cosmologist",real
Chow Yun-Fat - Actor,real
"Jay Chou - Musician, Actor",real
Zhang Yimou - Film Director,real
Lin Dan - Badminton Player,real
Princess Diana - Princess of Wales,real
Winston Churchill - British statesman and Prime Minister,real
Marie Curie - Physicist and chemist,real
"George Orwell - Novelist, essayist",real
